replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
125,block_id,2000,0.013,0.8125,1.0,0.896551724137931,0.8874771062271062,0.9000168860286889,0.00303951367781155,26,6,1968,0,32,1.2729429339548877
126,block_id,2000,0.0155,0.8157894736842105,1.0,0.8985507246376812,0.809187869289737,0.9016037140397941,0.0035551041137633316,31,7,1962,0,38,1.2729429339548877
127,block_id,2000,0.0135,0.7714285714285715,1.0,0.8709677419354839,0.8552646548298722,0.876527597929844,0.0040547389761784085,27,8,1965,0,35,1.2729429339548877
128,block_id,2000,0.0125,0.8064516129032258,1.0,0.8928571428571429,0.8423651063141725,0.8966613816373059,0.0030379746835443038,25,6,1969,0,31,1.2729429339548877
129,block_id,2000,0.0185,0.9024390243902439,1.0,0.9487179487179487,0.9264626844690471,0.9489995399023323,0.0020376974019358125,37,4,1959,0,41,1.2729429339548877
130,block_id,2000,0.0115,0.8214285714285714,1.0,0.9019607843137255,0.8522986675160588,0.90518015288902,0.0025290844714213456,23,5,1972,0,28,1.2729429339548877
131,block_id,2000,0.013,0.7647058823529411,1.0,0.8666666666666667,0.8573526774884241,0.8727008481534332,0.004052684903748734,26,8,1966,0,34,1.2729429339548877
132,block_id,2000,0.019,0.8636363636363636,1.0,0.926829268292683,0.8890431292134077,0.9278983100746065,0.0030581039755351682,38,6,1956,0,44,1.2729429339548877
133,block_id,2000,0.0145,0.8529411764705882,1.0,0.9206349206349206,0.9157252896208805,0.9223759805459846,0.0025367833587011668,29,5,1966,0,34,1.2729429339548877
134,block_id,2000,0.0175,0.8333333333333334,1.0,0.9090909090909091,0.8558241758241758,0.9112434997633174,0.0035623409669211198,35,7,1958,0,42,1.2729429339548877
135,block_id,2000,0.015,0.8571428571428571,1.0,0.9230769230769231,0.9225248311885141,0.9246444547271794,0.0025380710659898475,30,5,1965,0,35,1.2729429339548877
136,block_id,2000,0.0155,0.8857142857142857,1.0,0.9393939393939394,0.9064959234314074,0.9401675210907099,0.002031488065007618,31,4,1965,0,35,1.2729429339548877
137,block_id,2000,0.014,0.8484848484848485,1.0,0.9180327868852459,0.8926647183226131,0.9199638676236758,0.002535496957403651,28,5,1967,0,33,1.2729429339548877
138,block_id,2000,0.0125,0.8333333333333334,1.0,0.9090909090909091,0.8927648552820177,0.9117146640764221,0.002531645569620253,25,5,1970,0,30,1.2729429339548877
139,block_id,2000,0.0125,0.8620689655172413,1.0,0.9259259259259259,0.8903587217380321,0.9275359847765661,0.0020253164556962027,25,4,1971,0,29,1.2729429339548877
140,block_id,2000,0.015,0.6818181818181818,1.0,0.8108108108108109,0.6933201058201058,0.822783551986471,0.007106598984771574,30,14,1956,0,44,1.2729429339548877
141,block_id,2000,0.02,0.9090909090909091,1.0,0.9523809523809523,0.9416931347637869,0.9524891713407223,0.0020408163265306124,40,4,1956,0,44,1.2729429339548877
142,block_id,2000,0.0115,0.6764705882352942,1.0,0.8070175438596491,0.7174297321036451,0.8201870003012239,0.00556398583712696,23,11,1966,0,34,1.2729429339548877
143,block_id,2000,0.0155,0.7380952380952381,1.0,0.8493150684931506,0.8216895306656877,0.856721542282501,0.00558659217877095,31,11,1958,0,42,1.2729429339548877
144,block_id,2000,0.014,0.7567567567567568,1.0,0.8615384615384616,0.7985373766623767,0.867930296014089,0.004563894523326572,28,9,1963,0,37,1.2729429339548877
145,block_id,2000,0.019,0.8260869565217391,1.0,0.9047619047619048,0.9053055343673192,0.907038373010703,0.004077471967380225,38,8,1954,0,46,1.2729429339548877
146,block_id,2000,0.017,0.918918918918919,1.0,0.9577464788732394,0.9006405340661396,0.9578709218196726,0.001525940996948118,34,3,1963,0,37,1.2729429339548877
147,block_id,2000,0.018,0.9473684210526315,1.0,0.972972972972973,0.949165268065019,0.9728328157634821,0.0010183299389002036,36,2,1962,0,38,1.2729429339548877
148,block_id,2000,0.0145,0.90625,1.0,0.9508196721311475,0.9041092434551954,0.9512468786012946,0.0015220700152207,29,3,1968,0,32,1.2729429339548877
149,block_id,2000,0.0135,0.7297297297297297,1.0,0.84375,0.7856345490332417,0.8520746154288459,0.00506842372022301,27,10,1963,0,37,1.2729429339548877
150,block_id,2000,0.0165,0.9705882352941176,1.0,0.9850746268656716,0.9679604041235057,0.9849339061508801,0.0005083884087442806,33,1,1966,0,34,1.2729429339548877
151,block_id,2000,0.02,0.7407407407407407,1.0,0.851063829787234,0.7945922194400896,0.8575836609041332,0.007142857142857143,40,14,1946,0,54,1.2729429339548877
152,block_id,2000,0.0135,0.84375,1.0,0.9152542372881356,0.8622396789746778,0.9173940040914977,0.002534211860111505,27,5,1968,0,32,1.2729429339548877
153,block_id,2000,0.019,0.8085106382978723,1.0,0.8941176470588236,0.8836159780314659,0.8971075040941362,0.0045871559633027525,38,9,1953,0,47,1.2729429339548877
154,block_id,2000,0.0115,0.8214285714285714,1.0,0.9019607843137255,0.9071052136269527,0.90518015288902,0.0025290844714213456,23,5,1972,0,28,1.2729429339548877
